Date,HDFC,ICICI,Yes Bank,SBIN,PNB,Hudco
22-May-18,-0.000376596,0.003790494,0.001644614,0.036258353,0.042559614,0.008060948
21-May-18,-0.010487511,0.011283862,-0.033257921,0.024366268,0.045120435,-0.029244441
18-May-18,-0.007177716,-0.032632124,0.000434311,-0.016995228,-0.02248772,-0.025012084
17-May-18,0.001456125,-0.0067363,-0.012089957,0.000616713,0.011842244,0.060571386
16-May-18,-0.007259515,-0.033341923,0.011076859,-0.022166642,-0.129552608,-0.030305349
15-May-18,0.00886618,-0.006311211,0.002897293,-0.018926753,-0.038773386,-0.013083484
14-May-18,0.005233342,-0.00370341,-0.015260878,0.009717479,0.00842465,-0.020583917
11-May-18,0.010474179,0.013266656,0.015115814,0.01182734,-0.029454755,-0.021000352
10-May-18,0.005392207,-0.00032568,-0.009096879,-0.003422248,-0.018986195,-0.009102256
09-May-18,0.006285503,-0.006976584,0.013021017,-0.004811557,0.00430803,-0.003289477
08-May-18,-0.006664411,0.066340197,-0.01201433,0.014098924,-0.012335903,-0.012240055
07-May-18,-0.004083079,0.022716336,0.006061499,0.0186309,0.023187882,-0.022454833
04-May-18,0.010264539,0.003895879,-0.024593747,0.000620155,-0.003811603,-0.017296029
03-May-18,-0.001422078,0.016819148,-0.000705965,0.004767342,-0.008658063,-0.015468213
02-May-18,0.013154892,-0.026179039,-0.021779445,-0.023206709,-0.025533302,-0.010687125
30-Apr-18,0.01124784,-0.012576585,0.038287576,0.014930229,0.018018506,-0.001517451
27-Apr-18,-0.003866971,0.032818753,-0.010278463,0.039080603,0.02655263,-0.003783584
26-Apr-18,0.006809643,-0.000537972,0.079332833,-0.01720701,-0.013635335,-0.008273834
25-Apr-18,-0.009758201,-0.018824921,0.005550431,-0.013389321,-0.010239917,-0.000748783
24-Apr-18,0.001524922,0.016497048,0.032527025,-0.008690309,-0.009605197,-0.005225842
23-Apr-18,-0.014329983,-0.008548583,0.014803167,0.005370804,0.005858872,-0.01404829
20-Apr-18,0.009736427,-0.025215834,-0.030491627,-0.019891971,-0.026358932,0.008109149
19-Apr-18,0.002526426,-0.003624756,0.027901372,0,-0.011895667,-0.002956395
18-Apr-18,-0.005328952,-0.005155536,0.004212579,-0.007887593,-0.008702384,-0.013196672
17-Apr-18,0.004503295,0.014850903,-0.007763261,-0.004422118,-0.010646488,-0.005085372
16-Apr-18,0.005482725,-0.00277971,0.003065755,-0.007592444,-0.020958851,-0.00361664
13-Apr-18,0.000908065,0.006090683,-0.006603874,-0.012265238,0.000493949,-0.015048654
12-Apr-18,0.005230913,0.008237712,-0.001764376,-0.011728047,-0.007874056,0.000711491
11-Apr-18,-0.001486175,-0.016754319,-0.022814678,-0.022861432,-0.030890487,-0.009210125
10-Apr-18,-0.010058152,0.029685152,0.009759246,0.01030937,0.000951022,-0.004222385
09-Apr-18,0.00818403,-0.000534712,0.006028893,0.002882677,0.029939465,0.01058958
06-Apr-18,0.00783212,0.009668831,0.004305883,0.005403332,0.047687831,-0.007072165
05-Apr-18,0.012076613,0.03459666,0.023283186,0.045525376,0.029743909,0.019210836
04-Apr-18,-0.016470156,-0.004274702,-0.022643698,-0.013876542,-0.013677225,-0.017094433
03-Apr-18,-0.007461266,0.028976628,0.020845871,0.016309634,-0.006769096,0.035949234
02-Apr-18,0.020409406,-0.061096177,0.004254629,-0.015310533,0.009384845,0.028966006
28-Mar-18,-0.000924788,-0.019563135,0.004931787,-0.014882704,-0.039039369,-0.014216476
27-Mar-18,2.64E-05,0.008667252,0.001484292,0.029990252,0.035901292,0.021780808
26-Mar-18,0.028693952,0.020278847,0.055131403,0.048871353,0.027529531,0.003041827
23-Mar-18,-0.01548077,-0.027712509,-0.039495688,-0.02940153,-0.034813642,-0.023335647
22-Mar-18,0.005716678,-0.021112186,-0.007848416,-0.02493487,-0.011852754,-0.002229655
21-Mar-18,0.009981554,-0.007396611,-0.004812089,-0.006238072,0.008747162,0.005210283
20-Mar-18,-0.005665738,-0.011078085,-0.009227286,0.004624518,0.003105593,-0.011869576
19-Mar-18,-0.004235066,-0.010453644,-0.026063798,-0.017975319,-0.025589933,-0.031218506
16-Mar-18,-0.012093469,-0.011175164,0.001599233,-0.00592068,0.00303644,-0.010664872
15-Mar-18,0.007876264,-0.016124074,-0.020593156,-0.011348195,-0.007070737,0.009950331
14-Mar-18,0.00292598,0.007700538,0.018354946,0.008204774,0.01368149,-0.012775191
13-Mar-18,-0.003649443,0.010914611,0.005283817,0.008074884,0.035310003,0.012061161
12-Mar-18,0.007258291,0.026964896,0.026021959,-0.001185771,-0.009468771,-0.005693966
09-Mar-18,0.000944759,-0.014415581,-0.014233369,-0.01412065,-0.012487155,-0.017587509
08-Mar-18,0.009224407,0.035127402,-0.016433429,0.040132521,0.011963732,-0.006949298
07-Mar-18,-0.009494429,-0.028877909,-0.00031954,-0.039158337,-0.022763528,-0.023272782
06-Mar-18,-0.010794949,-0.026748502,-0.001117586,-0.028062576,-0.023256862,-0.01544173
05-Mar-18,-0.003040164,-0.007068329,-0.023341227,0.0047497,-0.009450456,-0.015862857
01-Mar-18,-0.003216762,-0.026668247,-0.004665638,-0.023340039,-0.003459356,-0.011085865
28-Feb-18,-0.010797217,-0.019427287,-0.014785423,0.003541146,0.030047328,-0.004529286
27-Feb-18,-0.002988833,-0.022733524,0.00505787,-0.02562116,-0.12907307,-0.022974846
26-Feb-18,0.015911676,0.017584905,0.00554701,-0.004901526,-0.013315776,0.005694416
23-Feb-18,0.013307647,0.010323883,0.022500949,0.0127576,-0.010962618,0.002541297
22-Feb-18,-0.002369223,-0.004079717,0.013523394,-0.001832509,-0.021144261,-0.005076153
21-Feb-18,-0.002336795,0.005180952,0.009172162,0.012713207,0.004707905,-0.016321768
20-Feb-18,-0.005911558,-0.006589293,-0.010612738,0.007444665,0.00128783,-0.004968954
19-Feb-18,-0.002663472,-0.003901683,0.002241794,-0.015202369,-0.076467729,-0.040078224
16-Feb-18,-0.00079766,-0.023400082,-0.02548211,-0.025791477,-0.021260643,0.023487981
15-Feb-18,-0.001646484,0.031061757,-0.000781067,0.007378779,-0.127474912,0.003663008
14-Feb-18,0.004147949,-0.023117933,-0.045035466,-0.041399862,-0.103197685,-0.001833181
12-Feb-18,0.012844927,-0.002297971,0.028465207,-0.027014807,0.030462396,0.016000341
09-Feb-18,-0.014708314,-0.023590993,-0.028763715,-0.016894272,-0.015818109,0.015000281
08-Feb-18,0.004611558,0.006898648,0.005536864,0.029285162,0.014861934,0.017148721
07-Feb-18,-0.013824066,0.004524895,-0.015928882,0.004278997,-0.022055084,0.01679626
06-Feb-18,-0.00865829,-0.002717393,-0.016260521,-0.021046262,-0.018218815,-0.042722468
05-Feb-18,-0.018044629,-0.009453143,-0.017000842,0.002690886,0.010767678,0.007518832
02-Feb-18,-0.022050855,-0.032182632,-0.025806974,-0.02871805,-0.032859665,-0.04428768
01-Feb-18,-0.007052498,-0.020610433,0.013172836,-0.023290718,-0.024831308,0.010281312
31-Jan-18,0.003745136,0.000992134,0.00282526,-0.000319693,-0.008431508,0.012232568
30-Jan-18,-0.00035014,-0.013241495,-0.01153318,0.005609439,-0.007211916,-0.018293193
29-Jan-18,0.014761717,-0.002794859,-0.016504084,-0.006567905,-0.038623546,0.004238577
25-Jan-18,0.005369038,0.015894561,-0.003569961,-0.050894045,-0.073297751,-0.003029387
24-Jan-18,0.004295583,-0.02630626,0.016444784,0.035524971,0.045480305,-0.010830431
23-Jan-18,-0.006385555,0.030141765,0.010082707,0.037649621,0.055861909,-0.006561312
22-Jan-18,0.006436804,-0.006384359,0.01975759,-0.009101314,-0.003690565,0.009558018
19-Jan-18,0.009992357,0.021297167,0.023383536,0.020595694,0.033715915,0.011470093
18-Jan-18,0.02129354,0.008705801,-0.006591016,-0.011820857,-0.026606543,-0.018647157
17-Jan-18,-0.006640691,0.026431956,0.025430111,0.033862156,0.056654915,0.008979408
16-Jan-18,0.004765236,0.014165397,-0.006120792,-0.020388407,-0.041123972,-0.020238786
15-Jan-18,0.015424607,0.036631868,-0.013893218,0.001489943,-0.007507976,-0.002942044
12-Jan-18,-0.002382388,0.025996201,-0.005708029,-0.000662471,0.008958303,-0.01342302
11-Jan-18,0.004072234,-0.00820666,0.008353533,0.003150653,0.008453629,-0.010954275
10-Jan-18,-0.0005636,-0.000480654,-0.003965636,-0.010573368,-0.023149182,0.027319339
09-Jan-18,0.002068086,-0.006386737,0.022832719,-0.004590925,-0.004566218,0.002950725
08-Jan-18,-0.00040321,0.004946161,0.001050341,-0.001797827,-0.002559364,0.008308653
05-Jan-18,0.001694574,-0.007013099,0.049075447,-0.006023624,-0.003968259,-0.005349196
04-Jan-18,0.002506774,-0.00079384,0.00410808,0.017024474,0.057940815,0.010727159
03-Jan-18,-0.010764193,0.018581345,0.013228339,-0.000165085,0.002100526,0.019359346
02-Jan-18,0.008418957,-0.004194908,-0.004961201,-0.013607883,-0.019631802,-0.010331298
01-Jan-18,-0.008872745,-0.011048067,-0.005889392,-0.007947491,-0.0102565,0
29-Dec-17,-0.000586948,-0.000795862,0.004931996,0.003884757,0.004675637,0
28-Dec-17,0.00900207,0.005104493,-0.005407998,-0.018797244,-0.018572792,0.01339034
27-Dec-17,-0.004216413,-0.015393464,-0.000792833,-0.008557897,-0.002010628,0.006146301
26-Dec-17,-0.00622489,0.003470582,0.017266616,-0.00942366,-0.009424602,0.004944386
22-Dec-17,0.004912572,0.005228563,-0.000805997,0.010370929,0.014026278,-0.000619387
21-Dec-17,5.35E-05,-0.002855332,-0.004020268,-0.0022089,0.016567738,0.008706523
20-Dec-17,-0.009112287,0.006515716,-0.002724579,-0.00691066,-0.044426277,-0.000624415
19-Dec-17,0.003826637,0.015262566,0.000800576,0.001723193,-0.000280308,0.017632699
18-Dec-17,0.002612638,0.01763887,-0.012416587,0.019473425,0.038862033,0.002544531
15-Dec-17,0.019325445,-0.003618425,0.039037215,-0.00414806,0.013493898,0.007672672
14-Dec-17,0.00841765,0.004937469,0.006933009,0.002550615,0.008899495,-0.003204104
13-Dec-17,-0.00123428,-0.014252023,-0.01528755,-0.01630686,-0.033692948,-0.013346242
12-Dec-17,-0.014018222,-0.011964573,-0.016181583,0.00031412,0.004041576,-0.008173576
11-Dec-17,0.005339128,0.001769485,-0.001764093,0.016312025,0.001737117,-0.002501565
08-Dec-17,0.016936552,0.014759817,0.00497953,-0.010956838,-0.006930435,0.006894418
07-Dec-17,0.003710477,0.02180463,0.013945418,0.013834998,0.009832352,0.017766965
06-Dec-17,-0.011419554,-0.019841921,-0.007645422,-0.022326951,-0.022698863,-0.008288221
05-Dec-17,-0.00794945,0.003772661,0.017491251,0.018969902,0.016614533,-0.007590169
04-Dec-17,-0.003259809,-0.003281381,-0.010825102,0.002396742,0.010161214,-0.02427757
01-Dec-17,-0.004572952,-0.008319108,-0.000978314,-0.024961802,-0.027627656,-0.011009286
30-Nov-17,-0.009805712,-0.023281135,-0.017768195,-0.025723405,-0.029919749,-0.015092348
29-Nov-17,0.003937593,0.004134866,-0.009243094,-0.011641223,-0.012864554,-0.008947271
28-Nov-17,0.002068753,-0.010305283,0,-0.007785636,-0.011088687,-0.002964722
27-Nov-17,0.004339454,-0.000157716,0.007643349,0.008988825,-0.00080656,-0.005903205
24-Nov-17,0.002352783,-0.006445043,0.001439655,-0.007944282,-0.002415784,0.006495447
23-Nov-17,-0.003945205,0.000626959,0.008036045,-0.000895389,-0.014637653,0.016726794
22-Nov-17,0.004297246,-0.00359966,-0.006914878,0.013364566,0.016516092,0.017624279
21-Nov-17,0.004968853,0.004854759,-0.003838776,-0.006929826,-0.006692569,-0.007330515
20-Nov-17,0.005349358,-0.020510352,0.021787354,-0.012976541,-0.017456143,0
17-Nov-17,0.011892449,0.018471616,0.01611877,0.011776241,0.006576375,0.007330515
16-Nov-17,0.003745583,0.011344064,0.001991702,0.025052551,0.04756368,0.01856489
15-Nov-17,-0.00180518,0.005401983,-0.004971837,-0.012225091,-0.019189185,-0.017337896
14-Nov-17,-0.006775,-0.000955414,-0.004124397,-0.006056954,-0.017494727,0.007393749
13-Nov-17,-0.002724685,-0.014065819,-0.000822842,-0.006020488,-0.014041826,-0.009233676
10-Nov-17,-0.003949972,0.022216083,-0.002464472,0.06014642,-0.010728874,-0.004280043
09-Nov-17,5.48E-05,0.018789021,0.003287314,0.01283097,0.014947177,0.001221001
08-Nov-17,0.001232759,-0.020712715,-0.02519844,-0.023766969,-0.007894778,-0.01093571
07-Nov-17,-0.003802962,-0.012572776,-0.027082184,-0.036373274,-0.053087228,-0.027415305
06-Nov-17,-0.000136528,0.000949367,-0.018423,0.012080581,-0.030116121,-0.012850644
03-Nov-17,0.004954231,-0.002529646,0.017329847,0.031411286,0.049441606,-0.009243278
02-Nov-17,0.000988305,0.010955099,0.00752001,-0.015281904,-0.008076773,0.016816865
01-Nov-17,0.006392615,0.04322617,0.011387123,0.044764507,0.01112246,-0.006412147
31-Oct-17,-0.002815581,-0.001998335,-0.000159046,-0.020392356,-0.03619514,-0.020702292
30-Oct-17,0.011533258,-0.001330009,0.023167059,0.003691522,0.038485509,0.022446986
27-Oct-17,-0.002728971,0.005664794,-0.076731945,-0.030718058,-0.082841336,0.044636985
26-Oct-17,0.001948504,-0.020997713,0.01228498,-0.012551494,0.054458167,0.016569879
25-Oct-17,-0.038615047,0.137090449,-0.060974647,0.243600843,0.379794465,0
24-Oct-17,0.001341274,0.014745069,-0.016658746,0.034986077,0.053544387,-0.00061862
23-Oct-17,0.006625395,0.01806352,-0.011093282,0.013313049,0.009980889,-0.007393749
19-Oct-17,-0.010349694,-0.019966108,-0.011799956,-0.006985851,-0.009216655,-0.001226994
18-Oct-17,0.010079511,-0.040418948,-0.029909788,-0.028062809,-0.02789476,-0.004282662
17-Oct-17,-0.003398062,-0.000547495,0.015659067,-0.004370289,0.005591813,0.001833181
16-Oct-17,0.001994287,0.009716824,-0.005698021,-0.00079255,-0.009672694,-0.004272207
13-Oct-17,0.020715396,0.014287283,0.011702406,0.003372684,0.010420638,0.003049713
12-Oct-17,0.013894312,0.000934842,0.006867216,0,0.014697834,0
11-Oct-17,-0.006818746,-0.007268693,-0.02665374,-0.019872764,-0.038724124,-0.019359346
10-Oct-17,0.004280638,-0.009610128,0.003899165,0.000584624,-0.000730194,0.001199041
09-Oct-17,-0.002420534,-0.001470318,0.016298065,-0.000584624,0.00109549,-0.005384398
06-Oct-17,-8.34E-05,0.001838236,0.016011384,0.020866899,0.033435507,0
05-Oct-17,0.001473758,-0.01551834,0.009225673,-0.007925542,0.016378199,0.002389487
04-Oct-17,-0.00660105,-0.008837644,0.015425198,0.008124487,0.003847638,0.008408458
